titre,lien,date_edition,date_limite
,https://www.novojob.com/cote-d-ivoire/offres-d-emploi,19/11/2025,
Commercial(e) H/F,https://www.novojob.com/cote-d-ivoire/offres-d-emploi/offre-d-emploi/cote-d-ivoire/136522-commercial-e-h-f,19/11/2025,17/02/2026
Consultant spécialisé MAARCH RM (H/F),https://www.novojob.com/cote-d-ivoire/offres-d-emploi/offre-d-emploi/cote-d-ivoire/136521-consultant-specialise-maarch-rm-h-f,19/11/2025,17/02/2026
Assistante,https://www.novojob.com/cote-d-ivoire/offres-d-emploi/offre-d-emploi/cote-d-ivoire/136520-assistante,19/11/2025,17/02/2026
Commercial(e) B2B & B2C (Vente de Ciment),https://www.novojob.com/cote-d-ivoire/offres-d-emploi/offre-d-emploi/cote-d-ivoire/136519-commercial-e-b2b-b2c-vente-de-ciment,19/11/2025,17/02/2026
Bagagiste / Portier,https://www.novojob.com/cote-d-ivoire/offres-d-emploi/offre-d-emploi/cote-d-ivoire/136493-bagagiste-portier,19/11/2025,18/01/2026
Responsable Blanchisserie et lingerie,https://www.novojob.com/cote-d-ivoire/offres-d-emploi/offre-d-emploi/cote-d-ivoire/136494-responsable-blanchisserie-et-lingerie,19/11/2025,18/01/2026
Responsable banquet hôtelier,https://www.novojob.com/cote-d-ivoire/offres-d-emploi/offre-d-emploi/cote-d-ivoire/136499-responsable-banquet-hotelier,19/11/2025,21/01/2026
Payroll Specialist – Africa (Abidjan or Dakar based),https://www.novojob.com/cote-d-ivoire/offres-d-emploi/offre-d-emploi/cote-d-ivoire/136518-payroll-specialist-africa-abidjan-or-dakar-based,17/11/2025,15/02/2026
ELECTROMECANICIEN- SERVICE GENERAUX H / F,https://www.novojob.com/cote-d-ivoire/offres-d-emploi/offre-d-emploi/cote-d-ivoire/abidjan/136517-electromecanicien-service-generaux-h-f,14/11/2025,12/02/2026
ELECTROMECANICIEN ( H/F),https://www.novojob.com/cote-d-ivoire/offres-d-emploi/offre-d-emploi/cote-d-ivoire/abidjan/136516-electromecanicien-h-f,14/11/2025,12/02/2026
REFERENT PI (Plateforme de solutions intégrées),https://www.novojob.com/cote-d-ivoire/offres-d-emploi/offre-d-emploi/cote-d-ivoire/abidjan/136513-referent-pi-plateforme-de-solutions-integrees,11/11/2025,09/02/2026
REFERENT DONNEES INDUSTRIELLES,https://www.novojob.com/cote-d-ivoire/offres-d-emploi/offre-d-emploi/cote-d-ivoire/abidjan/136512-referent-donnees-industrielles,11/11/2025,09/02/2026
COLLABORATEUR COMPTABLE (H/F),https://www.novojob.com/cote-d-ivoire/offres-d-emploi/offre-d-emploi/cote-d-ivoire/abidjan/136504-collaborateur-comptable-h-f,29/10/2025,27/01/2026
Un(e) Professeur(e) d’Allemand,https://www.novojob.com/cote-d-ivoire/offres-d-emploi/offre-d-emploi/cote-d-ivoire/136497-un-e-professeur-e-d-allemand,22/10/2025,20/01/2026
Développeur Frontend (Junior ou Intermédiaire) – Next.js / React H/F,https://www.novojob.com/cote-d-ivoire/offres-d-emploi/offre-d-emploi/cote-d-ivoire/136496-developpeur-frontend-junior-ou-intermediaire-next-js-react-h-f,22/10/2025,20/01/2026
Développeur Full Stack Senior (Next.js / NestJS) H/F,https://www.novojob.com/cote-d-ivoire/offres-d-emploi/offre-d-emploi/cote-d-ivoire/136495-developpeur-full-stack-senior-next-js-nestjs-h-f,22/10/2025,20/01/2026
Graphiste / Designer (H/F),https://www.novojob.com/cote-d-ivoire/offres-d-emploi/offre-d-emploi/cote-d-ivoire/136492-graphiste-designer-h-f,20/10/2025,18/01/2026
Technicien Installateur de Pointeuse Biométrique (H/F),https://www.novojob.com/cote-d-ivoire/offres-d-emploi/offre-d-emploi/cote-d-ivoire/136491-technicien-installateur-de-pointeuse-biometrique-h-f,20/10/2025,18/01/2026
Responsable Communication et Projets (H/F),https://www.novojob.com/cote-d-ivoire/offres-d-emploi/offre-d-emploi/cote-d-ivoire/136490-responsable-communication-et-projets-h-f,20/10/2025,18/01/2026
Assistant(e) Administratif(ve) & Comptable (H/F),https://www.novojob.com/cote-d-ivoire/offres-d-emploi/offre-d-emploi/cote-d-ivoire/136489-assistant-e-administratif-ve-comptable-h-f,20/10/2025,18/01/2026
Stagiaires Commerciaux H/F,https://www.novojob.com/cote-d-ivoire/offres-d-emploi/offre-d-emploi/cote-d-ivoire/136488-stagiaires-commerciaux-h-f,20/10/2025,18/01/2026
Documentaliste H / F,https://www.novojob.com/cote-d-ivoire/offres-d-emploi/offre-d-emploi/cote-d-ivoire/abidjan/136485-documentaliste-h-f,16/10/2025,14/01/2026
INSPECTEUR INDUSTRIEL,https://www.novojob.com/cote-d-ivoire/offres-d-emploi/offre-d-emploi/cote-d-ivoire/abidjan/136484-inspecteur-industriel,16/10/2025,14/01/2026
COMPTABLE,https://www.novojob.com/cote-d-ivoire/offres-d-emploi/offre-d-emploi/cote-d-ivoire/abidjan/136483-comptable,16/10/2025,14/01/2026
Assistant (e) Commercial (e),https://www.novojob.com/cote-d-ivoire/offres-d-emploi/offre-d-emploi/cote-d-ivoire/abidjan/136469-assistant-e-commercial-e,15/10/2025,31/12/2025
Graphiste / Motion Designer,https://www.novojob.com/cote-d-ivoire/offres-d-emploi/offre-d-emploi/cote-d-ivoire/abidjan/136468-graphiste-motion-designer,15/10/2025,31/12/2025
Gouvernante générale,https://www.novojob.com/cote-d-ivoire/offres-d-emploi/offre-d-emploi/cote-d-ivoire/136474-gouvernante-generale,15/10/2025,05/01/2026
Night auditor,https://www.novojob.com/cote-d-ivoire/offres-d-emploi/offre-d-emploi/cote-d-ivoire/136473-night-auditor,15/10/2025,05/01/2026
Chef de Réception,https://www.novojob.com/cote-d-ivoire/offres-d-emploi/offre-d-emploi/cote-d-ivoire/136472-chef-de-reception,15/10/2025,05/01/2026
RESPONSABLE DE MAGASIN DE VÊTEMENTS ET D'ARTICLES DIVERS H/F,https://www.novojob.com/cote-d-ivoire/offres-d-emploi/offre-d-emploi/cote-d-ivoire/136477-responsable-de-magasin-de-vetements-et-d-articles-divers-h-f,15/10/2025,06/01/2026
VENDEUR(SE) MAGASIN DE VÊTEMENTS ET D'ARTICLES DIVRES H/F,https://www.novojob.com/cote-d-ivoire/offres-d-emploi/offre-d-emploi/cote-d-ivoire/136476-vendeur-se-magasin-de-vetements-et-d-articles-divres-h-f,15/10/2025,06/01/2026
VENDEUSE BOUTIQUE DE VÊTEMENTS DE LUXE,https://www.novojob.com/cote-d-ivoire/offres-d-emploi/offre-d-emploi/cote-d-ivoire/136475-vendeuse-boutique-de-vetements-de-luxe,15/10/2025,06/01/2026
Automaticien H / F,https://www.novojob.com/cote-d-ivoire/offres-d-emploi/offre-d-emploi/cote-d-ivoire/abidjan/136470-automaticien-h-f,06/10/2025,04/01/2026
Un(e) Responsable de Crèche,https://www.novojob.com/cote-d-ivoire/offres-d-emploi/offre-d-emploi/cote-d-ivoire/136466-un-e-responsable-de-creche,01/10/2025,30/12/2025
Cuisinier (H/F),https://www.novojob.com/cote-d-ivoire/offres-d-emploi/offre-d-emploi/cote-d-ivoire/bondoukou/136457-cuisinier-h-f,17/09/2025,16/12/2025
Responsable compte client / commercial(e),https://www.novojob.com/cote-d-ivoire/offres-d-emploi/offre-d-emploi/cote-d-ivoire/136448-responsable-compte-client-commercial-e,09/09/2025,08/12/2025
,https://www.novojob.com/termes-et-conditions-d-utilisation,,
